conversation_id,operator_id,created_at
session_00040e94-7044-44e1-b768-e329ad2ac909,0f286ad2-5939-4c36-9327-e3af45e28672,2019-03-10 19:40
session_00138cf0-1e19-4d68-a69e-dcda7de1bd01,,2019-03-12 18:17
session_002b838c-41d1-48dc-b861-3d2f0dca3d01,02a9d66a-90ae-4430-ad4d-8ca69af6e7d1,2019-04-15 11:53
session_002ee9d2-f2e7-48c7-acec-02413920ae62,ffe1158c-b421-4b69-8919-efdb9a5acd48,2019-03-20 14:49
session_0030b289-2db2-4ecc-af64-6d88a7d308f1,,2019-03-10 21:20
session_0041881c-96b8-417d-8ff8-3b1ddc48f264,,2019-03-21 2:45
session_0045be32-efa7-4fe0-9777-1bdb73d052a6,f0feaceb-9eba-438c-ad0f-f4d2ec861962,2019-04-22 14:55
session_0058435d-a4a9-4b34-bd92-d1a7833ece4b,563f8aea-0b7f-4cf1-9b68-3c59000b1f9d,2019-03-27 2:51
session_006f5127-2cb8-4fdb-ae55-4ee73e75e6ea,02a9d66a-90ae-4430-ad4d-8ca69af6e7d1,2019-03-28 3:32
session_0073c155-0fe3-4e91-a1a2-969150f785cc,f0feaceb-9eba-438c-ad0f-f4d2ec861962,2019-04-12 21:30
session_0076b961-a530-4331-9647-73329338b79f,,2019-03-10 17:42
session_007d7d4a-554f-4595-8054-849d78b64a1f,,2019-03-10 16:43
session_0081e866-8f32-4c64-ae26-ed23cd940bd4,ada32a6d-0203-483f-81fd-616c85ee76cf,2019-03-26 16:23
session_0097950d-b63d-4f20-8db7-c33dbc46f3b3,20622059-acce-414c-a8f3-1a10f8d7c4df,2019-04-11 1:08
session_00987849-0414-4752-b78e-cc3154bf0ac5,766b5d4e-4ffb-410f-9b8f-ba3de17658ed,2019-03-12 14:38
session_00b4756d-0d10-489f-9137-74258a3dd4dd,a68822ba-6776-49c8-b79d-76b0454b742e,2019-04-14 20:20
session_00dad61d-9a3c-4cbf-8c1b-296fb2db59bf,,2019-03-22 23:11
session_00ee0444-7f9a-49e8-b61a-eafd007c17b0,ada32a6d-0203-483f-81fd-616c85ee76cf,2019-04-14 13:35
session_010d864e-e768-4fa4-b8a7-390155dc1750,ada32a6d-0203-483f-81fd-616c85ee76cf,2019-04-16 3:36
